snr,pe
2.2336830766775715, 1.1037274526015615
3.6062594749860373, 0.7016269777519171
5.388514322189421, 0.32894613696577635
6.3578353147690105, 0.19667063845688543
7.175516636080747, 0.11768694176772267
7.8421168116173305, 0.0682774837223255
8.536224367669355, 0.03487468333578238
9.129797335035507, 0.017265487597520272
9.931700311178489, 0.006017275337268439
10.816404691614139, 0.0014085256529317454
11.651679565945903, 0.00030947619178913876
12.386699114338148, 0.00006486624684905252
13.125907603925638, 0.000010710476798438463
13.418435330726883, 0.0000046770420638211706
