snr, pe
-3.010752688172044, 0.7101514149778922
-0.7885304659498225, 0.7101514149778922
1.7921146953405014, 0.6796781954392632
4.301075268817204, 0.622598542367517
8.172043010752688, 0.4785445618385643
11.326164874551974, 0.2953918955793975
13.835125448028677, 0.15299748436035993
16.630824372759857, 0.038431230501988746
16.630824372759857, 0.038431230501988746
18.9247311827957, 0.0067967819543926404
19.71326164874552, 0.002765840598808619
20.64516129032258, 0.0008463333075189388
21.720430107526884, 0.00018637968601574727
22.580645161290324, 0.000030194120595309844
23.154121863799286, 0.00000827975761740959
