snr, pe
0.06632490225803878, 0.7875422046470741
0.4479374451448179, 0.6810482954715897
1.184772201388335, 0.5428445184981963
1.7957990904013403, 0.4194412588817821
2.6101292587568827, 0.30376734930447613
3.018690656666401, 0.23874936903445387
3.4519668076278625, 0.19368436778302262
3.9363480411713074, 0.15216287489106467
4.4226841139392, 0.10694869182612685
4.987074124311816, 0.06616085562028715
5.913667916699913, 0.025348430202799012
6.870003191574245, 0.007528880979854973
7.805812654591879, 0.0017066996728609288
8.721375568499163, 0.00029061921395095005
9.42888773637597, 0.00006918824501237314
10.222273198755287, 0.000009287732922072297
10.4622995292428, 0.000004534654708183236
