snr, pe
-0.29090909090908923, 0.08534281857037118
2.4727272727272744, 0.030456388066082654
3.927272727272726, 0.012592639007876095
4.872727272727273, 0.006032287757569591
6.181818181818182, 0.0019379000125227409
6.981818181818182, 0.0007062772236385427
7.927272727272728, 0.00019583827521706934
8.58181818181818, 0.00006425091409444039
9.381818181818181, 0.00001603760765652557
10.109090909090908, 0.00000417507901279222
10.76363636363636, 0.000001157676115545622
10.836363636363634, 0.0000008624485413583065
